,name,faction,loyalty,text,traits,card type,image name,cost,command,attack,health,shields,cycle,war pack,keywords,useful_quantities
0,Captain Cato Sicarius,Space Marines,Signature,"Reaction: After an enemy unit at this planet is destroyed, gain 1 RESOURCE.",Soldier. Ultramarines.,Warlord,Captain_Cato_Sicarius,-1,-1,2,6,0,Core Set,Core Set,Unique.,1
1,Sicarius's Chosen,Space Marines,Signature,"Reaction: After this unit enters play, move a target enemy army unit at an adjacent planet to this planet and deal it 1 damage.",Soldier. Ultramarines.,Army,Sicarius's_Chosen,3,1,2,3,0,Core Set,Core Set,,4
2,Cato's Stronghold,Space Marines,Signature,"Reaction: After an enemy unit is destroyed, exhaust this support to ready a target Space Marines unit at the same planet",Location.,Support,Cato's_Stronghold,2,-1,-1,-1,0,Core Set,Core Set,,1
3,The Fury of Sicarius,Space Marines,Signature,"Reaction: After a Space Marines unit damages an enemy non-warlord unit by an attack, destroy the attacked unit.",Tactic.,Event,The_Fury_of_Sicarius,2,-1,-1,-1,1,Core Set,Core Set,,2
4,Tallassarian Tempest Blade,Space Marines,Signature,"Limit 1 Relic per player.
Attach to a unique unit.
Attached unit gets +1 ATK and gains Armorbane. (Shield cards cannot be used while this unit is attacking.)",Relic. Weapon.,Attachment,Tallassarian_Tempest_Blade,1,-1,-1,-1,3,Core Set,Core Set,Unique.,1
5,10th Company Scout,Space Marines,Common,,Scout. Ultramarines.,Army,10th_Company_Scout,1,1,2,1,0,Core Set,Core Set,,3
6,Tactical Squad Cardinis,Space Marines,Common,Area Effect (1). (When this unit attacks it may instead deal its Area Effect damage to each enemy unit at this planet.),Soldier. Ultramarines.,Army,Tactical_Squad_Cardinis,2,1,1,3,0,Core Set,Core Set,Area Effect.,3
7,Honored Librarian,Space Marines,Loyal,"Enemy units cannot attack this unit while you control a unit not named ""Honored Librarian"" at this planet",Psyker. Ultramarines.,Army,Honored_Librarian,3,1,4,2,0,Core Set,Core Set,,3
8,Blood Angels Veterans,Space Marines,Common,"While this unit is ready, it gains, ""Reaction: After this unit is assigned damage, prevent 1 of that damage.""",Soldier. Blood Angels.,Army,Blood_Angels_Veterans,3,1,3,3,0,Core Set,Core Set,,3
9,Daring Assault Squad,Space Marines,Common,Area Effect (2). (When this unit attacks it may instead deal its Area Effect damage to each enemy unit at this planet.),Soldier. Blood Angels.,Army,Daring_Assault_Squad,4,1,3,3,0,Core Set,Core Set,Area Effect.,3
